attraction_id,name,country,province,city,price,rating,latitude,longitude,sentiment_y,popularity,normalized_popularity,sentiment_rating,popularity_rating,price_level
1596,seaplane_flight_to_vancouver_with_bus_tour_from_victoria,canada,british_columbia,vancouver_island,4,5.0,48.4241277,-123.3707833,-0.04444444444444447,1,-0.42259306942200764,Bad,Not Popular,$$$$
1597,thousand_islands_sunset_dinner_cruise,canada,ontario,things_to_do_in_kingston,2,4.5,44.2307614,-76.4797292,0.37483394515537377,26,0.026684805347026597,Good,Popular,$$
1598,1-day_hop-on_hop-off_sightseeing_tour_with_robert_bateman_centre_combo,canada,british_columbia,vancouver_island,1,1.0,48.4233248,-123.3680641,0.0,1,-0.42259306942200764,OK,Not Popular,$
1600,toronto_small-group_city_tour,canada,ontario,toronto,2,4.5,43.6704097,-79.3872779,0.65,1,-0.42259306942200764,Very Good,Not Popular,$$
1601,guided_electric_bike_tour_in_whistler,canada,british_columbia,whistler,2,5.0,50.117217,-122.9474384,0.402368402909631,95,0.49393379510682217,Good,Very Popular,$$
1603,okanagan_wine_country_bike_and_wine_tour,canada,british_columbia,okanagan_valley,2,5.0,49.501802,-119.5907252,0.415625,2,-0.40462195443124627,Good,Not Popular,$$
1604,vancouver_private_walking_tour_of_downtown_chinatown_and_gastown,canada,british_columbia,vancouver,3,5.0,49.282979,-123.109697,0.2991044372294372,4,-0.3686797244497235,OK,Not Popular,$$$
1607,historic_gastown_photography_tour,canada,british_columbia,vancouver,2,5.0,49.2779117,-123.0986452,0.4568181818181818,2,-0.40462195443124627,Very Good,Not Popular,$$
1609,yellowknife_sightseeing_tour,canada,northwest_territories,yellowknife,1,4.5,62.4549765,-114.3722764,0.375,2,-0.40462195443124627,Good,Not Popular,$
1612,electric_bike_tour_of_quebec_city,canada,quebec,quebec_city,2,5.0,46.8135797,-71.2017245,0.32153394059644064,7,-0.3147663794774394,OK,Not Popular,$$
1613,victoria_classic_adventure_course,canada,british_columbia,vancouver_island,1,5.0,48.443459,-123.465593,0.40978174603174605,6,-0.3327374944682008,Good,Not Popular,$
